Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;2;50000;10;30;20;10201422;1726194580762541450
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;3;50000;10;30;20;14582896;1726194580682595673
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;3;50000;10;30;20;9434106;1726194580722608015
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;0;50000;10;30;20;0;0
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;4;50000;10;30;20;13935420;1726194580762626494
21;8;4;50000;10;30;20;14026364;1726194580772633648
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;4;50000;10;30;20;16415370;1726194581532650414
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;5;50000;10;30;20;1309593;1726194580762661503
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;5;50000;10;30;20;15680460;1726194580942730682
39;8;0;50000;10;30;20;0;0
40;8;5;50000;10;30;20;4286516;1726194580962684751
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;5;50000;10;30;20;19546587;1726194581292689876
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;6;50000;10;30;20;13946446;1726194580612699347
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;0;50000;10;30;20;0;0
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;6;50000;10;30;20;12598409;1726194581202818563
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;0;50000;10;30;20;0;0
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;7;50000;10;30;20;17934277;1726194580812781633
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;7;50000;10;30;20;12194323;1726194580852836865
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;0;50000;10;30;20;0;0
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;7;50000;10;30;20;15206803;1726194581372788485
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
93;8;0;50000;10;30;20;0;0
94;8;0;50000;10;30;20;0;0
95;8;0;50000;10;30;20;0;0
96;8;0;50000;10;30;20;0;0
97;8;0;50000;10;30;20;0;0
98;8;0;50000;10;30;20;0;0
99;8;0;50000;10;30;20;0;0
0;8;0;50000;10;30;20;0;0
1;8;0;50000;10;30;20;0;0
2;8;0;50000;10;30;20;0;0
3;8;0;50000;10;30;20;0;0
4;8;0;50000;10;30;20;0;0
5;8;0;50000;10;30;20;0;0
6;8;0;50000;10;30;20;0;0
7;8;0;50000;10;30;20;0;0
8;8;0;50000;10;30;20;0;0
9;8;0;50000;10;30;20;0;0
10;8;0;50000;10;30;20;0;0
11;8;0;50000;10;30;20;0;0
12;8;0;50000;10;30;20;0;0
13;8;0;50000;10;30;20;0;0
14;8;0;50000;10;30;20;0;0
15;8;0;50000;10;30;20;0;0
16;8;0;50000;10;30;20;0;0
17;8;0;50000;10;30;20;0;0
18;8;0;50000;10;30;20;0;0
19;8;0;50000;10;30;20;0;0
20;8;0;50000;10;30;20;0;0
21;8;0;50000;10;30;20;0;0
22;8;0;50000;10;30;20;0;0
23;8;0;50000;10;30;20;0;0
24;8;0;50000;10;30;20;0;0
25;8;0;50000;10;30;20;0;0
26;8;0;50000;10;30;20;0;0
27;8;0;50000;10;30;20;0;0
28;8;0;50000;10;30;20;0;0
29;8;0;50000;10;30;20;0;0
30;8;0;50000;10;30;20;0;0
31;8;0;50000;10;30;20;0;0
32;8;0;50000;10;30;20;0;0
33;8;0;50000;10;30;20;0;0
34;8;0;50000;10;30;20;0;0
35;8;0;50000;10;30;20;0;0
36;8;0;50000;10;30;20;0;0
37;8;0;50000;10;30;20;0;0
38;8;0;50000;10;30;20;0;0
39;8;0;50000;10;30;20;0;0
40;8;0;50000;10;30;20;0;0
41;8;0;50000;10;30;20;0;0
42;8;8;50000;10;30;20;19703836;1726194580982846327
43;8;0;50000;10;30;20;0;0
44;8;0;50000;10;30;20;0;0
45;8;0;50000;10;30;20;0;0
46;8;0;50000;10;30;20;0;0
47;8;0;50000;10;30;20;0;0
48;8;0;50000;10;30;20;0;0
49;8;0;50000;10;30;20;0;0
50;8;0;50000;10;30;20;0;0
51;8;0;50000;10;30;20;0;0
52;8;0;50000;10;30;20;0;0
53;8;0;50000;10;30;20;0;0
54;8;0;50000;10;30;20;0;0
55;8;0;50000;10;30;20;0;0
56;8;0;50000;10;30;20;0;0
57;8;0;50000;10;30;20;0;0
58;8;0;50000;10;30;20;0;0
59;8;0;50000;10;30;20;0;0
60;8;0;50000;10;30;20;0;0
61;8;0;50000;10;30;20;0;0
62;8;0;50000;10;30;20;0;0
63;8;0;50000;10;30;20;0;0
64;8;0;50000;10;30;20;0;0
65;8;0;50000;10;30;20;0;0
66;8;0;50000;10;30;20;0;0
67;8;0;50000;10;30;20;0;0
68;8;0;50000;10;30;20;0;0
69;8;0;50000;10;30;20;0;0
70;8;0;50000;10;30;20;0;0
71;8;0;50000;10;30;20;0;0
72;8;0;50000;10;30;20;0;0
73;8;0;50000;10;30;20;0;0
74;8;0;50000;10;30;20;0;0
75;8;0;50000;10;30;20;0;0
76;8;0;50000;10;30;20;0;0
77;8;0;50000;10;30;20;0;0
78;8;0;50000;10;30;20;0;0
79;8;0;50000;10;30;20;0;0
80;8;0;50000;10;30;20;0;0
81;8;0;50000;10;30;20;0;0
82;8;0;50000;10;30;20;0;0
83;8;0;50000;10;30;20;0;0
84;8;0;50000;10;30;20;0;0
85;8;0;50000;10;30;20;0;0
86;8;0;50000;10;30;20;0;0
87;8;0;50000;10;30;20;0;0
88;8;0;50000;10;30;20;0;0
89;8;0;50000;10;30;20;0;0
90;8;0;50000;10;30;20;0;0
91;8;0;50000;10;30;20;0;0
92;8;0;50000;10;30;20;0;0
